8
S    6    1.000000
   4.73543300E+04    1.78451300E-03
   7.11078700E+03    1.36675400E-02
   1.61959100E+03    6.73612200E-02
   4.56337900E+02    2.33055200E-01
   1.46060600E+02    4.80631600E-01
   4.97579100E+01    3.47480200E-01
SP   6    1.000000
   9.68148400E+02    2.41059900E-03   3.99500500E-03
   2.30282100E+02    3.20724300E-02   3.10406100E-02
   7.41459100E+01    1.24594200E-01   1.34774700E-01
   2.76410700E+01   -3.48217700E-02   3.43727900E-01
   1.11147500E+01   -6.16737400E-01   4.62875900E-01
   4.54311300E+00   -4.50984400E-01   2.13554700E-01
SP   6    1.000000
   3.76405000E+01   -3.23319900E-03  -6.49405600E-03
   1.22823800E+01    7.13074400E-02  -2.75345300E-02
   5.23336600E+00    2.54382000E-01   5.51628400E-02
   2.20895000E+00   -2.93388700E-01   3.87967200E-01
   9.17880000E-01   -7.41569500E-01   5.09025800E-01
   3.63412000E-01   -1.90941000E-01   1.80384000E-01
SP   3    1.000000
   1.39278100E+00    6.13970300E-02  -1.89126500E-01
   5.43913000E-01    3.06113000E-01   8.00545300E-02
   9.14760000E-02   -1.15489000E+00   9.87739900E-01
SP   1    1.000000
   3.43120000E-02    1.00000000E+00   1.00000000E+00
D    3    1.000000
   1.60502500E+01    8.59989900E-02
   4.16006300E+00    3.80299600E-01
   1.24326500E+00    7.12765900E-01
D    1    1.000000
   3.44277000E-01    1.00000000E+00
F    1    1.000000
   8.00000000E-01    1.00000000E+00

